channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content
51,,,,,,331,1803,120,8,,225,225,225,1,
51,,,,,,322,1803,120,8,,200,200,200,1,
51,,,,,,313,1803,120,8,,175,175,175,1,
51,,,,,,304,1803,120,8,,150,150,150,1,
51,,,,,,331,1925,115,8,,225,225,225,1,
51,,,,,,322,1925,115,8,,200,200,200,1,
51,,,,,,313,1925,115,8,,175,175,175,1,
51,,,,,,304,1925,115,8,,150,150,150,1,
11,,,,,,51,2045,2,1386,,0,0,0,1,
13,,,,,,200,2166,3,1236,,0,0,255,1,
12,,,,,,200,2288,1,1236,,0,0,255,1,
12,,,,,,200,2291,1,1236,,0,0,255,1,
13,,,,,,200,2411,3,1236,,0,0,255,1,
11,,,,,,51,2533,3,1386,,0,0,0,1,
42,,,,,,,2045,491,,,5,4,,1,
41,151,231,,,,191,2049,120,40,,5,1,58,1,0.258620689655172
41,151,231,,,,191,2171,120,40,,5,2,58,1,0.258620689655172
