channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content,
1,,,,,,925,14384,55,25,1,0,0,0,2,,
1,,,,,,1225,14384,55,25,1,255,71,71,2,,
1,,,,,,875,14446,55,25,1,255,71,71,2,,
1,,,,,,1175,14446,55,25,1,17,17,255,2,,
1,,,,,,825,14506,55,25,1,17,17,255,2,,
1,,,,,,1100,14506,55,25,1,0,0,0,2,,
1,,,,,,750,14569,55,25,1,0,0,0,2,,
1,,,,,,1050,14569,55,25,1,255,71,71,2,,
1,,,,,,700,14629,55,25,1,255,71,71,2,,
1,,,,,,650,14691,55,25,1,17,17,255,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1400,14815,55,25,1,255,71,71,2,,
1,,,,,,925,14875,55,25,1,0,0,0,2,,
1,,,,,,1225,14875,55,25,1,255,71,71,2,,
1,,,,,,875,14937,55,25,1,255,71,71,2,,
1,,,,,,1175,14937,55,25,1,17,17,255,2,,
1,,,,,,825,14997,55,25,1,17,17,255,2,,
1,,,,,,1100,14997,55,25,1,0,0,0,2,,
1,,,,,,750,15060,55,25,1,0,0,0,2,,
1,,,,,,1050,15060,55,25,1,255,71,71,2,,
1,,,,,,700,15120,55,25,1,255,71,71,2,,
1,,,,,,650,15182,55,25,1,17,17,255,2,,
0,,,,,,,80,,,,,,,1,,
110,,,,,,750,15306,35,25,1,0,0,0,2,,
110,,b,,,,675,15346,35,25,1,255,130,5,2,,
110,,b,0,0,0,1150,15386,35,25,1,45,255,45,2,,
110,,b,,,,625,15428,35,25,1,45,255,45,2,,
110,,,,,,575,15468,35,25,1/1/1900,0,0,0,2,,
110,,b,0,0,0,675,15508,35,25,1,255,130,5,2,,
1,,b,0,0,0,1025,15428,115,25,1,255,130,5,2,,
1,,,,,,1100,15428,115,25,1,0,0,0,2,,
110,,,,,,750,15551,35,25,1,0,0,0,2,,
110,,b,,,,700,15591,35,25,1,255,71,71,2,,
110,,,,,,1175,15631,35,25,1,17,17,255,2,,
110,,,,,,650,15673,35,25,1,17,17,255,2,,
110,,,,,,550,15713,35,25,1,255,255,80,2,,
110,,b,230,230,230,700,15753,35,25,1,255,71,71,2,,
1,,b,230,230,230,1050,15673,115,25,1,255,71,71,2,,
1,,,,,,1100,15673,115,25,1,0,0,0,2,,
0,,,,,,,80,,,,,,,1,,
110,,,,,,750,15797,35,25,1,0,0,0,2,,
110,,b,,,,675,15837,35,25,1,255,130,5,2,,
110,,b,0,0,0,1150,15877,35,25,1,45,255,45,2,,
110,,b,,,,625,15919,35,25,1,45,255,45,2,,
110,,,,,,575,15959,35,25,1,0,0,0,2,,
110,,b,0,0,0,675,15999,35,25,1,255,130,5,2,,
1,,b,0,0,0,1025,15919,115,25,1,255,130,5,2,,
1,,,,,,1100,15919,115,25,1,0,0,0,2,,
110,,,,,,750,16042,35,25,1,0,0,0,2,,
110,,b,,,,700,16082,35,25,1,255,71,71,2,,
110,,,,,,1175,16122,35,25,1,17,17,255,2,,
110,,,,,,650,16164,35,25,1,17,17,255,2,,
110,,,,,,550,16204,35,25,1,255,255,80,2,,
110,,b,230,230,230,700,16244,35,25,1,255,71,71,2,,
1,,b,230,230,230,1050,16164,115,25,1,255,71,71,2,,
1,,,,,,1100,16164,115,25,1,0,0,0,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,750,16288,100,25,1,0,0,0,2,,
1,,,,,,925,16288,100,25,1,0,0,0,2,,
1,,,,,,1425,16288,55,25,1,255,255,80,2,,
1,,b,0,0,0,800,16348,177,25,1,45,255,45,2,,
1,,b,0,0,0,850,16348,177,25,1,255,130,5,2,,
1,,,,,,1250,16348,55,25,1,255,255,80,2,,
1,,,,,,775,16393,10,25,1,178,125,255,2,,
1,,,,,,950,16393,10,25,1,178,125,255,2,,
1,,,,,,775,16410,178,25,1,178,125,255,2,,
1,,,,,,950,16410,178,25,1,178,125,255,2,,
1,,b,0,0,0,1200,16410,55,25,1,255,130,5,2,,
1,,b,0,0,0,1150,16470,55,25,1,45,255,45,2,,
1,,,,,,1275,16533,55,25,1,0,0,0,2,,
1,,,,,,750,16593,117,25,1,0,0,0,2,,
